,PTID1W1,PTID1W2,PTID1W3,PTID1W4,PTID1W5,PTID1W6,PTID1W7,PTID1W8,PTID1W9,PTID1W10,PTID2W1,PTID2W2,PTID2W3,PTID2W4,PTID2W5,PTID2W6,PTID2W7,PTID2W8,PTID2W9,PTID2W10,PTID3W1,PTID3W2,PTID3W3,PTID3W4,PTID3W5,PTID3W6,PTID3W7,PTID3W8,PTID3W9,PTID3W10,PTID4W1,PTID4W2,PTID4W3,PTID4W4,PTID4W5,PTID4W6,PTID4W7,PTID4W8,PTID4W9,PTID4W10,PTID5W1,PTID5W2,PTID5W3,PTID5W4,PTID5W5,PTID5W6,PTID5W7,PTID5W8,PTID5W9,PTID5W10,PTID6W1,PTID6W2,PTID6W3,PTID6W4,PTID6W5,PTID6W6,PTID6W7,PTID6W8,PTID6W9,PTID6W10
GUSB,2.7911264136369183,3.128342897932024,3.589164236699772,3.307501386738228,2.7877040935724606,3.098267949583021,3.110413359269974,3.3277161028348443,3.2705588424862286,2.8227709302667763,3.219153028351698,3.563219156821077,3.5444111970621552,3.172231468825481,3.194827756463539,3.1897296936214503,3.344047299043392,3.3331374563076657,3.662638471103125,3.6032049719995705,2.5172000914885992,2.56674210431135,2.5562332004864663,2.5871729388806806,2.148218272154145,2.4262379136144427,2.399882010026675,2.7545882454902597,2.555300814802226,3.0021264073451324,3.0815611963953495,2.912247463552327,3.042679353853463,2.9372313828907344,2.7424590037184915,2.8473355197484853,3.1300577422307607,2.888071052102231,2.8658594431642785,2.8082614740539458,3.7871189828133445,3.6939663822699265,3.6724479723044485,3.404780531444281,3.6357543912777603,3.623445507162354,3.530095719416087,3.540882809530884,4.51742058543538,3.764038235164118,3.096447407606131,3.215134960002232,3.224626867401134,3.1780134373153253,2.9830939325977894,2.8896682250819596,3.348784798813901,3.0815611963953495,3.179049186545604,2.864829950700752
GZMA,5.446451443762805,5.5720498725186,5.413062586429408,5.363591626616723,5.778484575832827,5.717580468661357,5.672781728488605,5.489738801079914,5.470910993234811,5.3806013232950605,5.7297458056882435,5.828090774320176,5.711390279933513,5.7754219691972635,5.968890235242804,5.671134825853482,5.930588330216348,5.892570744404279,6.074075081193782,5.687351886209599,5.517152838401072,5.482709555721766,5.509765505069057,5.423473965106965,5.322530294366538,5.6454336354439185,5.301338884633282,5.40114916942799,5.620917723096537,5.652500835751868,5.357963641789192,5.443265164397284,5.397929568537831,5.257817758328435,5.460942378283951,5.47119396485853,6.023126692946754,5.769621009936414,5.38403944256942,5.436338433358982,5.29653449588635,5.509122576598994,5.6111310583995175,5.550829882224432,5.339098180717328,5.32805014774011,5.4279781953264505,5.414605753275606,5.44585579335865,5.48287731733661,5.68456629992938,5.608652548024601,5.782274878778873,5.83932978216199,5.553010232464567,5.583191106634912,5.487695355199846,5.727939508900173,5.680194936117413,5.658431441266568
GZMB,3.5147408763806816,3.4899667421229292,3.19348790661689,3.440566896525896,3.4532805126304345,3.4179335060182883,3.286807237337525,3.198871279517819,3.2425720207671525,3.5010569236595144,5.234029899812145,3.4008521187210063,3.748536371414036,3.226385217270386,3.215678596607928,3.22203170248449,3.4137565389197784,3.1795269739699545,3.7463127664254587,3.4279547372791774,3.4110194134520513,3.5587941583950697,3.544942801858057,2.871094513996458,3.401166239449287,3.1788102334832464,3.321928094887362,3.469169659238385,3.4259426286868666,3.6305802059391334,3.4632039204286245,3.3647545085294572,3.041120298865943,3.1441442867716525,3.0964980092502206,3.9020928794497505,3.5936525583979306,3.5767518866482644,3.4312619065110166,3.2146222006485483,2.775071617955091,2.6310344165075668,2.6644145724226416,2.880215323988849,2.718547945090059,2.67617712414928,2.827473549232065,2.8679952753375715,2.8115737829276495,2.8094967640008854,3.8679359893427456,3.3374970265383297,3.5008020530571575,3.308360875198613,3.456779870392945,3.50778195710962,3.37798438835347,3.3943220625040906,3.2576593832620375,3.098099477359076
GZMH,2.931569603447609,3.1771205028465164,2.944895917919355,2.928123930413005,3.1784756326914403,3.167100968963075,2.9386245454662197,2.7305312742307337,2.940599024294411,2.795268234275938,5.35843142862635,4.215740713464018,4.257561332840854,3.8048589627858167,3.9108669490743013,3.838003773280205,4.195410596730163,3.780876985704733,4.206471315502403,4.110947820676524,3.1040011103212146,3.0685676345056527,3.308666671301264,2.8953220122653693,3.160113447098241,3.0944556671313093,3.032083206200528,2.9861014280394205,2.9980871615353015,3.107520493591593,3.2685092512773157,3.142086629617527,2.8203627985656,2.8818995030547616,3.167646951665579,3.419120853886086,3.4515144580959234,3.248398210821006,3.1035983478839566,3.131424858888248,3.2032638127210804,2.9801898568278014,2.973060172804084,3.307501386738228,3.1449273848567247,3.0986385192394605,3.2519008380132153,3.3704293548888336,3.070183213877062,3.5187617225034513,4.598936833822528,4.285683332044693,4.371238228086609,4.18677785044965,4.083451669871483,4.136027285161916,3.989756653868849,4.196087655931988,3.9129276479547115,3.864839853165504
HAGH,3.315711130137369,3.811542957976718,3.444481550408997,4.340512421841061,4.199366107674837,3.634221511685112,3.2394744211118462,3.242251887669987,3.472812666192388,3.567156003710787,4.515939479195529,4.047398788875411,3.6567137309096043,4.527032790913078,3.6162400556184795,3.6319191341474313,4.441875174413912,4.3829576990180525,4.0204755323167,4.429314673918175,3.4285444238751466,2.8079936884307384,2.770173607111756,3.403404076485321,2.971184847326621,3.9578217581270883,3.21654798930695,3.260552640353582,2.993656248704792,3.4506306194575833,4.0876580162002165,3.6246390259795276,2.838306392136075,2.9919163366344383,3.1214630644436596,3.1201694351990614,3.611172380044005,3.5436319803119525,4.495356191789646,3.4021491319660995,4.152662074217396,3.64429470241661,3.62967135557318,3.9965514472399546,3.6831125218131677,3.1340401807669545,3.415407142524553,4.330271553416697,3.929497506278052,4.135354275328555,3.83950615536944,4.115499412557526,3.6584400104001245,3.727920454563199,3.8768410561053717,3.9492174117908045,3.8652853937458618,3.766637562136053,3.44857062600553,4.152118504431943
HAO1,5.353838447405074,5.146398622439289,4.832571067376075,4.8271279910976315,4.98454378125868,4.850399396770254,4.844712040396289,4.825887365417719,4.9444789858493765,5.015903395178472,8.136077543114432,6.6036619483319425,6.919884685217774,6.836757323362612,7.827396059938027,7.727891192055697,8.004319920347662,8.253873951877237,8.215372340822837,7.013141749379562,4.486173743720783,4.945120730153483,4.452812850436701,4.151802003809967,5.970906558322544,5.68182310315848,4.7771303584152465,5.3216431344760196,5.638965830593898,4.0,4.225452324790124,5.617607044567501,4.865404181332834,4.686534142986707,4.725146726579113,4.668743189087904,4.757642021427442,4.453715104949904,5.526328648702051,4.332521767430799,4.5564539404436815,5.104915299326902,4.186991725632146,4.376734904998522,4.565609360727101,4.134746655368487,4.616781126547513,4.587106915081408,3.8530574906620183,4.014105299405561,4.070251921820444,5.432762359080582,4.819989995291361,5.1502672087484065,4.048593675790851,4.442784293129422,5.5966072198853345,5.486913839821976,5.123442723627609,5.211152405412343
HAVCR1,8.278513576575234,8.45690756463076,8.503474361210355,8.422757766301382,8.4276841043659,8.546823094865207,8.49450161588449,8.53551412095035,8.56104005912304,8.561391441215799,7.662285267316349,7.5347557572943415,7.627127465089283,7.528512716008058,7.690697840584031,7.757792007708769,7.653661970121089,7.6359342816961995,7.827999985136826,7.611974228317981,6.141976315119995,6.103149303039732,6.17958469590352,6.067227824110973,6.0747687247335955,6.232177219450631,6.283723647347013,6.462333760883321,6.551320671492671,6.278867570103103,7.372300057134023,7.273577430447895,7.16146952231099,7.099873765582511,7.116012233215349,7.003820333378361,7.184801966861574,7.174613147925436,7.251188871021947,7.074141462752506,7.397867977488992,7.505222448943991,7.541375444894232,7.582440841728997,7.635544007092168,7.4980521640962285,7.425321662084798,7.668182961848675,7.824262515946291,7.746210634622029,7.782595966809552,7.341179875186539,8.120363864615168,7.699995049850362,7.5896998284592385,7.320855593584462,7.897407439326407,8.333682676392296,7.712738144643737,7.364100502794051
HAVCR2,2.3970910201724274,2.6272799769858497,2.8584386051096944,2.478505926936718,2.437866900870151,2.559467339799141,2.4217484321737808,2.7205849232825234,2.5386374851706432,2.3439194263681884,2.479696205398655,2.693899495353828,2.920750621128051,2.5757963753290816,2.7381625343886378,2.715080665022845,2.7586656177922393,2.7741017814206304,2.8644337963656237,2.7548875021634687,2.6027181626746563,2.711759192983234,2.6764028238479445,2.735218876189111,2.493980303991363,2.6930966103857896,2.7188109426524365,2.732811872082943,2.7686501474136427,2.8459115072335313,2.5834468750854427,2.695526197275175,2.656748047972436,2.5848903641656826,2.396433531250992,2.531942832596635,2.7813597135246595,2.5019740851912866,2.597983993789946,2.5305951724479883,2.5233361252460016,2.6851328204781333,2.631569968309523,2.6325939485725245,2.7161129421241474,2.6224150106607627,2.5858278581644094,2.6324776237745704,2.611974965783738,2.6240072860736507,2.4704327426133577,2.753989545855973,2.7592836888473307,2.707193454238043,2.6841005768559767,2.615157304606995,2.641638506574872,2.6317562006060204,2.6227663989862666,2.572647178287917
HBEGF,4.666949695619842,5.0243728749344685,4.836893627409743,4.848688032359706,4.852183658086815,4.858393845320427,4.9248742472574705,5.083740983219294,4.952366185074857,4.740360945776729,5.322220211057378,5.373693447083607,5.434901730018481,5.54318652456517,5.132371198732537,5.323474556177006,5.7179916568990174,5.336865347926582,6.01436422051777,5.608164616059852,4.949819708784387,4.717802524865126,4.984311356437689,4.920445756624642,4.892026662976528,4.984962962731082,5.079489050571089,4.865602138912267,4.884866508807645,5.420192675218698,5.183252265923532,5.06558523582241,5.0761913628334865,5.136392384730775,4.621829173194684,4.765614304557581,5.167386029828144,5.115332940701891,5.141261109160523,5.108913304772903,4.560800535540203,4.711010255927095,5.059671092189278,4.866299722830076,4.858324216221238,5.28713980455083,4.9725869750193485,5.316808273858327,5.075096162735616,5.351455189655768,5.568193273755825,5.240604365847174,5.39250976929473,5.409604778612301,5.069294009718288,5.4520385692478355,5.41671478398149,4.978936925864314,5.575203398258157,5.821646445280166
HBQ1,2.0147123515213723,2.162467867615304,2.01617536834643,2.5549817023668515,2.641014168467117,2.17200739069316,1.9140669566530397,2.259875053629163,2.1401242239090705,2.084574561925513,2.958694223099885,2.4606901488487356,2.4033222655441953,3.002072384951204,2.27208292674934,2.311386858162039,2.755656734408239,2.6575485477897525,2.5782141654724544,2.815841811023095,2.4275525399990947,1.9641398296119639,2.032171388876966,2.2784903456164756,2.0435544888730117,2.383413996482974,2.2312173399206063,1.9077751773229261,1.8400401827266069,2.1128335550227293,2.9262271945282072,2.7171664207659423,1.9379846107987726,2.3852377445270005,2.1157657275780597,2.3557210837366656,2.5432236511311834,2.2839810193473538,2.920750621128051,2.6012686357255514,2.5837838184102835,2.254231207375222,1.9721779703463724,2.491776150542255,2.494031523327502,1.9315317835941237,2.070114502661328,2.68941099302623,2.4106667326576523,2.528121187811378,3.0555080423478094,3.0021984340571235,2.7571726302715436,2.5406968656683,3.310412835263555,3.4242906030346543,3.0644172797437705,2.824727127232103,2.52381283772722,2.993547565654175
HCLS1,3.7134648771850607,4.408134395763955,3.7967119525037356,3.6926503700355298,3.0316774964507602,3.9904920349267674,3.7707022101239387,4.460179003352801,4.043598231692155,3.6109598561201235,4.066967459753183,4.113083688532535,4.223561560960937,4.096396804187157,3.443938115013176,3.644121621243302,4.041374417119313,3.139436750794287,4.591092933634327,4.178818199222999,3.9741070880340286,3.767983127586507,3.1359288155264067,3.9757493971927946,2.895709776184568,3.5835792550625105,3.7151905168507904,3.952529267539213,4.103145105699655,4.864795291538854,4.2628089671207965,3.9943443846262805,3.9814325669964843,3.816374427833494,2.9244609894014038,3.659787587181405,4.2148397571777085,4.058636866478403,3.9487970556262573,3.9105599885995432,4.340825718398811,4.251787249816789,4.653512938482831,4.495624816735969,3.285683332044693,4.879994864377748,4.506443264428597,4.366105356511771,5.1394408438654935,5.779595924758736,5.087691956974596,4.526707363448978,4.237938415504486,4.397364885478378,3.43373397997771,3.9434619158116786,4.709461587162855,3.6991740305302927,4.65097704234011,3.772582466342978
HEXA,2.247866767110353,2.1176618004655596,2.220391871792974,2.113467142370435,2.1483484499156487,2.1567849075543597,2.1479253292364464,2.6307316253515314,2.2818169245012565,2.1348123563517576,2.2415351417957172,2.2422366414647388,2.333080194006724,2.448266660063955,2.2216915135109043,2.2614706390127823,2.141563582375003,2.2234534424316115,2.185168809781465,2.3043650126544164,2.184121573362961,2.3042481786867146,2.2093285866078647,2.151046991236623,2.3151604333867644,2.1732233966997123,2.196323764640907,2.225336634924684,2.249202595947355,2.186342080680433,2.4182709201378243,2.289303314024345,2.2169514578965615,2.3096418734221604,2.201006466056093,2.1996566419477404,2.3927295624875735,2.572501664642034,2.2138760433829425,2.3633673488073077,2.0812714455458843,2.023858567275091,2.1584662951247955,2.3135941465723913,2.291957116429807,1.9850267405401496,1.9936019082029157,2.249172249933011,2.164239211549784,2.049107957412342,2.0795658498102747,2.284040263954096,2.346304516134695,2.232445871313593,2.2247194655788203,2.1900142706854395,2.3658884661760022,2.2068619869737574,2.08702147879072,2.252990829911105
HEXIM1,4.802777415990577,5.491853096329675,4.950790325056682,5.202852580391278,4.343329644586331,5.062752062314111,5.134722016728352,5.4055635705479945,5.350645752165418,4.896819174588669,5.496507089564087,5.4778133022876885,5.6185763805776885,5.540005564174,4.879029344433112,5.201626020414426,5.663390165451893,4.625463381407521,6.141187525004999,5.616910483014955,5.402166190159972,5.23052583099643,4.779448844980181,5.372569092311593,4.357988265930845,5.033273217788571,5.176183124492473,5.132893477014854,5.137966587323595,6.344068610054058,5.857401313262077,5.679969828935817,5.678742377065273,5.679252065292879,4.705635151804353,5.401074058934752,5.662555874738201,5.536512996836574,5.680870046994806,5.674870193169295,5.314018517185423,5.2446245195251375,5.6439138964222355,5.476287708414274,4.3482111696467864,5.934139030353971,5.552217200018218,5.444710129745159,6.165578352493448,7.004122691267118,6.1998018871463865,5.520840223790989,5.347718799785842,5.464449363241667,4.544392649172546,4.9453595547737645,5.8221080746435065,4.862128993058164,5.868536147524666,5.077909493138128
HGF,8.484352053864663,8.455503127949584,8.544451383338279,8.508236100746654,8.294380892389835,8.26435064014849,8.306141912893617,8.379347173327742,8.281564729726398,8.403439015161034,9.136501076304226,9.130047185274016,8.976546367059402,8.85715182910102,8.857715129196293,9.02135896105234,9.03572891915318,9.033479717059732,9.274538663797564,9.410890135429975,8.663239644395421,8.81846170821415,8.872711812790918,8.725857696039098,8.781314136756867,8.743617627433958,8.83332086005383,8.789430940989806,8.855822801315968,9.04166791180821,8.844985960511558,8.910386395124885,8.84042924327183,9.119963829993024,8.837125819464129,8.737609703863486,8.905537133770775,9.004316549136892,8.987671320480588,8.963456783786052,8.521494049309533,8.56931943360449,8.48684748800292,8.63030062064897,8.621256287056276,8.651060663135116,8.487374197188164,8.567798301718337,8.68046783147066,8.729431430511198,8.524136959287484,8.382151480075905,8.434749559024999,8.16202620265972,8.25146252756549,8.426183391117716,8.445388614841885,8.330349993703251,8.351344758237566,8.321119959365394
HLA-E,2.4617380860204663,2.270439238345897,2.32593322254944,2.446123866474554,2.310892660067536,2.270678436711808,2.267595721851879,2.4589856257858487,2.425700986966183,2.2270016745890375,2.29625181785742,2.0856965806792465,2.4639624283131667,2.557459106410548,2.183994583943968,2.0919367382105847,2.293458773733307,2.1174955779542413,2.423282341110974,2.348090749377038,2.209484558698018,2.3350544311698087,2.4252981608024697,2.349846473154657,2.2427244401349724,2.268943349363542,2.2524156590326507,2.0447787867493177,2.1812297949804536,2.131293145009546,2.4252713017253114,2.4383727033383007,2.2628841172727028,2.288181352329058,2.143491380173091,2.3696339856874706,2.4061556743986747,2.3651885976077702,2.4885150089578123,2.417623015316371,2.240711206708248,2.234440006252892,2.415326009436967,2.350101158783792,2.1062813093543697,2.2060492714549493,2.2978370358866433,2.2906603118113553,2.3080113145521777,2.287206308794953,2.265916914366915,2.202699807094455,2.2257376534660596,2.1098285653070867,2.191152017934312,2.19055165203227,2.1489991625877645,2.3143775025378623,2.2124448290517393,2.2168893931496862
