,Gene,mean,median,sd,max,PTID,Time,Residual
IGSF3,IGSF3,3.89933,3.92661899916289,0.204568597021035,4.30575898800416,59.000837714504094,1.8302967374430898,39.1688655480528
MATN2,MATN2,4.6953863,4.71874242854336,0.250483138667997,5.21659842905176,58.7511307610057,4.90283008805364,36.3460391509406
GAS6,GAS6,4.6999172,4.7073190882735,0.271617948276997,5.19265578540492,58.587696205932005,0.0,41.412303794068
PCSK9,PCSK9,2.6768983,2.63855827760284,0.257583763745576,3.17394291745187,58.4203793321303,3.3311778688015403,38.2484427990682
LTBR,LTBR,3.3329382,3.31850450326346,0.1786763857337,3.72641709104817,58.320125758697905,1.7554870387459902,39.9243872025561
PRCP,PRCP,1.6906629,1.66879990883161,0.114547933966845,1.95784032670623,58.2257033883834,1.7687922182377798,40.0055043933788
SMOC2,SMOC2,7.2800049,7.25574588420885,0.240233575568296,7.99092253549975,58.1837364219021,0.0,41.816263578097804
ITGA5,ITGA5,3.9093557,3.93198481251011,0.192738424529123,4.32069406300356,58.0419321834118,7.22604695118106,34.7320208654071
S100A11,S100A11,3.0557459,3.06402012720878,0.152199038885791,3.46227485894301,57.9905950460603,4.30264913709245,37.7067558168472
TEK,TEK,7.0762101,7.09777603871857,0.143002935496885,7.364054089515,57.952967876428694,1.88244911382801e-08,42.0470321047468
STC1,STC1,6.6015165,6.66499250838689,0.2708492429742,7.12282799480767,57.77259999405,0.0,42.22740000595
AREG,AREG,2.8829804,2.68278311118676,0.540125604799745,5.18456198129602,57.7322191222979,0.0,42.2677808777021
NTRK2,NTRK2,6.2305344,6.25625771692438,0.129278974657054,6.62122990830317,57.7213110151422,2.84017155419137,39.438517430666394
PLAT,PLAT,4.6247071,4.52742952652921,0.585716353661815,6.73971311368956,57.702009672906996,4.57196435230241,37.7260259747906
CTSV,CTSV,3.162219,3.14874888920616,0.203030072394339,3.57600204513404,57.573990105211706,0.0,42.4260098947883
LILRA5,LILRA5,4.7886272,4.76857275819243,0.213735590246526,5.27316897457543,57.4572312212562,3.95968780474382,38.5830809739999
IGF1R,IGF1R,3.2684717,3.32841283993983,0.211950361934949,3.63944056321061,57.246563881155495,0.0,42.753436118844505
NRP1,NRP1,1.6254661,1.63010249388591,0.128464015793692,1.90184195750126,57.176481721632996,0.0,42.823518278367004
TYRO3,TYRO3,3.0979283,3.05815179092386,0.19809423187832,3.67868041373475,57.136678424254605,1.58161911071319,41.2817024650322
CDH17,CDH17,5.586432,5.47963616111301,0.745146043005634,9.17581673322451,57.0853447737834,1.39320761587972,41.5214476103368
XCL1,XCL1,4.8628114,4.88493763763981,0.19086313892221,5.29766465445522,56.9377443712036,1.17380643540744,41.8884491933889
ADA,ADA,6.1930618,6.21140316262504,0.204447862229761,6.7427944639085,56.9194525395939,13.2675642773923,29.812983183013802
DNER,DNER,9.9625847,9.94557875389636,0.147608982519207,10.2570393850471,56.9035750791157,2.08616423064796,41.0102606902363
TGFBR2,TGFBR2,3.9000637,3.85550140932173,0.167235163678017,4.25830031799206,56.902671053770305,0.0,43.0973289462297
PTS,PTS,3.2322885,3.02441654878217,0.852469211375221,7.54147457130267,56.7942387201641,0.0,43.205761279835905
GALNT7,GALNT7,5.3304343,5.35336356172841,0.212453730532769,5.71724594911807,56.700009353561995,0.731275925887059,42.568714720551
CDH5,CDH5,3.2597601,3.26875617941439,0.195461699495283,3.85175903407437,56.6483797920582,4.08811629538384,39.263503912558
DPP4,DPP4,4.5231772,4.53324977313144,0.205354127301375,4.95089761273229,56.5949035949192,0.0,43.4050964050808
NRP2,NRP2,7.9958076,7.9998670459196,0.0864707578055487,8.23621227970894,56.475289512842394,2.7991661445006097,40.725544342657
ICAM2,ICAM2,5.1339619,5.12417786074056,0.194179440713693,5.56765495981117,56.4409157487419,2.07115381319234,41.4879304380658
B4GAT1,B4GAT1,4.7350565,4.70375132202519,0.212194970805303,5.25281300550984,56.3339293362005,8.21638451713187,35.4496861466677
IFNG,IFNG,7.3075297,7.3536084352814,0.632670549347556,9.08349182620248,56.2956788738886,0.0,43.7043211261114
ACAN,ACAN,3.0409823,3.02933218112088,0.184738705270715,3.42453248108086,56.2921533136455,0.40369601807035105,43.3041506682841
KYNU,KYNU,8.0751438,8.07027252849684,0.363991687580709,9.21064699429675,56.26974019893049,9.20756678363875,34.5226930174308
NAAA,NAAA,3.4327433,3.40629851455219,0.306302189459075,4.14065597241686,56.210697523489294,0.0,43.7893024765107
LRP1,LRP1,2.4883956,2.44739386413339,0.173562597151626,2.85173904868853,56.1383347221593,0.0,43.8616652778407
AMBP,AMBP,7.5272459,7.52836595840222,0.120082069963455,7.8101725088816,55.779016449089205,6.04175019448296,38.1792333564279
