,Gene,mean,median,sd,max,PTID,Time,Residual
FUS,FUS,2.2943776,2.25419275144047,0.230572170121249,2.87841146477366,47.3806825019999,12.1231900690608,40.496127428939296
MLN,MLN,2.9701289,2.91349109958998,0.46088141628987,4.18412157336296,47.3697621550236,0.238248097339407,52.391989747637005
IL17A,IL17A,2.5972287,2.57942328976799,0.261978392519146,3.28615666204646,47.2855154162394,8.66739883558282,44.0470857481778
CCL2,CCL2,10.927431,10.8774119569869,0.298477116890463,11.9440996091267,47.0789893255969,4.66972260332602,48.2512880710771
EGF,EGF,6.6975385,6.81592914772993,0.860994852446975,8.53918324363974,47.035787302139994,24.1330951798578,28.8311175180022
ICOSLG,ICOSLG,5.063162,5.06171116604548,0.115593681794611,5.29237317313963,46.8930911545475,0.0,53.10690884545251
LRPAP1,LRPAP1,7.7525335,7.75084843846674,0.247219197269626,8.3853909138369,46.7716680034161,10.3934969891675,42.8348350074164
BID,BID,1.4614972,1.44757919654888,0.180027956254474,1.8050447613704,46.767624783940896,15.358530600074099,37.8738446159851
DPP6,DPP6,3.5510789,3.5419564639194,0.182111256498221,3.98364121648618,46.714568350017,0.0,53.285431649982996
LSP1,LSP1,4.2987223,4.21706389835064,0.275978588919295,4.93314297595956,46.6982592488748,9.73357357026007,43.5681671808651
CD4,CD4,4.4319255,4.45864465908882,0.176173812867214,4.77781419987527,46.5269844835383,1.7627425822746199,51.710272934187095
GZMA,GZMA,5.5744182,5.53399136031275,0.193051003515411,6.07407508119378,46.518440070341,0.0,53.48155992965899
IL15RA,IL15RA,2.5901598,2.61819594283366,0.178386689547014,3.01197860320351,46.4656836256644,11.0539863015029,42.4803300728328
ICAM1,ICAM1,5.9217672,5.95333268829947,0.225255802756788,6.35331446839227,46.2753429700869,0.0,53.724657029913104
ACVRL1,ACVRL1,6.371316,6.38143942759939,0.136168581845733,6.69931980771771,46.1328295989901,0.0,53.8671704010099
CA2,CA2,4.0933946,4.05601921806785,0.511123359582836,5.56366152116936,46.0847222505519,0.015467876154871,53.8998098732933
METAP1D,METAP1D,3.8036532,3.83253772196856,0.722944932766574,5.65328362897371,45.950123924508105,14.6808642996504,39.3690117758415
VASN,VASN,1.9911859,1.97880326774963,0.10745381496277,2.2681049735405,45.4398384634007,5.4288163368859296e-08,54.5601614823112
ANGPT2,ANGPT2,2.4445352,2.41954877571535,0.17100799487978,2.90135929259626,45.4272670291531,0.0,54.57273297084691
SCARA5,SCARA5,8.1591823,8.14816433599625,0.134371470788289,8.48963926622982,45.41755025295,0.360969550818013,54.221480196231994
TIGAR,TIGAR,2.098561,2.08246416393369,0.186439181227092,2.5573365626837,45.2702720729727,8.32703013147304,46.4026977955542
IL10,IL10,4.4058925,4.38663711786649,0.229800454797192,5.01234966042078,45.2619926714002,0.0,54.7380073285998
B4GALT1,B4GALT1,3.0603297,3.05069616791541,0.171405549057969,3.67469791741737,45.2104049189542,6.89505794165217,47.8945371393937
KRT19,KRT19,3.0401787,3.05555243646618,0.319073207916858,3.81101883301798,45.099805950094904,0.0,54.9001940499051
PLXNB2,PLXNB2,1.9418896,1.93621281301952,0.123920421420695,2.30897240260059,44.974383709911805,0.0,55.025616290088195
CGA,CGA,3.4892606,3.48121496810527,0.42215785773977,4.39932834584624,44.895445234533895,11.5789063445403,43.5256484209259
SH2D1A,SH2D1A,2.1033377,2.08630166965129,0.162485888092677,2.55988333124832,44.8357240233261,14.2276300010812,40.9366459755927
CXCL9,CXCL9,7.3558627,7.33131647536303,0.397578581850744,8.59146512383092,44.6443839159843,0.0,55.3556160840157
CXCL8,CXCL8,4.7980599,4.83454159741072,0.30056548527072,5.36647259643635,44.6425156337076,6.469529593203251,48.8879547730891
